Country,Mar. 07 cases,Mar. 09 cases,Mar. 11 cases,Mar. 13 cases,Mar. 14 cases,Mar. 15 cases,Mar. 16 cases,Mar. 17 cases,Mar. 18 cases,Mar. 19 cases,Mar. 20 cases,Mar. 21 cases,Mar. 22 cases,Mar. 23 cases,Mar. 24 cases,Mar. 25 cases,Mar. 26 cases,Mar. 27 cases,Mar. 28 cases,Mar. 29 cases,Mar. 30 cases,,T.D. Mar. 07,T.D. Mar. 09,T.D. Mar. 11,T.D. Mar. 14,T.D. Mar. 15,T.D. Mar. 16,T.D. Mar. 17,T.D. Mar. 18,T.D. Mar. 19,T.D. Mar. 20,T.D. Mar. 21,T.D. Mar. 22,T.D. Mar. 23,T.D. Mar. 24,T.D. Mar. 25,T.D. Mar. 26,T.D. Mar. 27,T.D. Mar. 28,T.D. Mar. 29,T.D. Mar. 30,,T.Recov. Mar. 07,T.Recov. Mar. 09,T.Recov. Mar. 11,T.Recov. Mar. 14,T.Recov. Mar. 15,T.Recov. Mar. 16,T.Recov. Mar. 17,T.Recov. Mar. 19,T.Recov. Mar. 20,T.Recov. Mar. 21,T.Recov. Mar. 22,T.Recov. Mar. 23,T.Recov. Mar. 24,T.Recov. Mar. 25,T.Recov. Mar. 26,T.Recov. Mar. 27,T.Recov. Mar. 28,T.Recov. Mar. 29
Iraq,46,60,71,83,101,110,124,154,164,164,192,208,214,266,266,316,346,382,458,547,547,,4,6,7,9,10,10,11,12,12,13,17,17,23,23,27,29,36,40,42,42,,1,1,15,24,26,26,41,43,49,49,51,62,62,75,103,105,122,143
Ireland,18,21,34,70,90,129,170,223,292,366,557,683,785,906,"1,125","1,329","1,564","1,819","2,121","2,415","2,615",,0,0,0,1,2,2,2,2,2,3,3,3,4,6,7,9,19,22,36,36,,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5
Isle of Man,0,0,0,0,0,0,0,0,0,0,1,2,2,5,20,23,25,26,29,37,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,21,39,76,126,154,200,250,304,427,529,705,883,883,"1,238","1,656","2,030","2,495","3,035","3,460","3,865","4,347",,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,10,12,13,13,,2,3,4,4,4,4,11,13,15,36,36,37,49,58,66,79,89,89
Italy,"4,636","7,375","10,149","15,113","17,660","21,157","24,747","27,980","31,506","35,713","41,035","47,021","53,578","59,138","63,927","69,176","74,386","80,589","86,498","92,472","97,689",,197,366,631,"1,266","1,441","1,809","2,158","2,503","2,978","3,405","4,032","4,825","5,476","6,077","6,820","7,503","8,215","9,134","10,023","10,023",,523,622,"1,004","1,439","1,966","2,335","2,941","4,025","4,440","5,129","6,072","7,024","7,432","8,326","9,362","10,361","10,950","12,384"
Ivory Cost,0,0,0,1,1,4,4,4,6,9,9,14,14,25,25,73,80,96,101,140,165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,3
Jamaica,0,0,1,8,8,8,10,12,13,15,16,19,19,19,21,25,26,26,30,32,32,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Japan,435,502,587,700,738,840,840,852,889,923,963,"1,007","1,054","1,101","1,140","1,193","1,307","1,387","1,499","1,693","1,866",,6,7,12,21,22,25,28,29,32,33,35,36,41,42,43,45,47,49,52,52,,49,76,102,118,144,144,144,191,215,215,215,235,285,285,310,359,372,404
Jordon,1,1,1,1,1,7,16,35,48,56,69,84,100,112,127,154,172,212,235,246,259,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18
Kazakhstan,0,0,0,2,6,8,9,32,36,44,49,53,54,62,68,79,109,125,204,251,294,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,18
Kenya,0,0,0,0,1,1,3,3,7,7,7,7,7,15,16,25,28,31,31,38,42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Kuwait,61,64,72,80,100,112,123,130,142,148,159,176,176,189,191,195,208,208,225,255,266,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,5,9,9,15,18,22,27,27,30,39,43,49,49,57,67
Kyrgyzstan,0,0,0,0,0,0,0,0,3,3,6,14,14,14,42,44,44,58,58,84,94,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,1,6,8,17,17,30,34,49,71,86,111,124,124,180,197,221,244,280,305,347,376,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,22,32,61,77,83,110,99,120,133,149,163,187,230,267,304,333,368,368,391,438,446,,0,0,2,3,3,3,3,4,4,4,4,4,4,4,4,6,6,8,10,10,,1,1,1,1,1,1,4,4,4,8,8,8,8,8,20,23,27,30
Liberia,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,1,1,1,4,4,7,7,7,19,28,28,37,37,46,51,51,51,56,56,56,62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lituania,1,1,3,3,7,9,14,18,33,36,48,69,105,154,187,255,290,345,382,437,484,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,5,7,7,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,3,5,7,26,38,59,77,140,203,335,484,670,670,798,875,"1,099","1,333","1,453","1,605","1,831","1,950",,0,0,0,1,1,1,1,2,4,4,8,8,8,8,8,8,9,15,18,18,,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,40,40
Macao,10,10,10,10,10,10,11,13,15,17,17,17,19,24,25,30,31,33,34,34,38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Madagascar,0,0,0,0,0,0,0,0,0,0,0,3,3,12,17,19,19,23,26,39,39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,93,99,149,158,197,248,553,673,790,900,"1,030","1,183","1,183","1,518","1,624","1,796","2,031","2,161","2,161","2,470","2,626",,0,0,0,0,0,0,2,2,2,2,4,9,14,15,19,23,26,26,34,34,,23,24,26,32,35,42,60,75,87,114,114,159,183,199,199,215,259,388
Maldives,0,4,8,8,9,13,13,13,13,13,13,13,13,13,13,13,13,13,16,17,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,3,5,5,5,8,9,9,11
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,11,18,25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,1,3,6,12,18,18,21,38,48,53,64,73,73,107,110,110,129,134,139,149,156,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Martinique,0,2,3,3,6,10,15,15,19,23,32,32,37,44,53,57,66,81,93,93,93,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritus,0,0,0,0,0,0,0,0,0,3,12,14,14,28,36,48,52,81,94,102,110,,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,1,1,1,3,3,4,7,11,21,36,36,36,36,50,63,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,6,7,8,12,15,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,,0,0,0,0,0,0,0,0,1,1,2,2,2,4,5,6,8,12,16,16,,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Moldova,0,1,3,6,6,12,23,29,30,36,49,66,80,94,109,125,149,177,199,231,263,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2
Monaco,1,1,1,2,2,2,2,9,9,9,11,11,18,23,23,23,31,33,42,43,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Mongolia,0,0,1,1,1,1,1,4,6,6,6,10,10,10,10,10,11,11,12,12,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,2,8,13,14,16,22,29,52,67,70,82,84,91,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,2,2,5,7,8,18,29,38,49,58,66,86,96,134,143,170,225,275,358,437,516,,0,0,1,1,1,1,2,2,2,3,3,3,4,4,5,6,11,23,26,26,,0,0,0,1,1,1,1,1,2,2,3,3,5,6,7,8,11,12
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,7,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Zaandam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,8,8,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,7,7,8,8,11,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Nepal,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,128,265,382,614,804,959,"1,135","1,413","2,051","2,051","2,460","2,994","3,631","4,204","4,749","5,560","6,412","7,431","8,603","9,762","10,866",,1,3,4,10,12,20,24,58,58,76,106,136,179,213,276,356,434,546,639,639,,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
New Caledonia,0,0,0,0,0,0,0,0,2,2,2,4,4,8,10,14,14,15,15,15,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,5,5,5,5,6,8,8,12,20,28,39,52,66,102,155,205,283,368,451,514,589,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,12,22,27,37,50,56
Nicaragua,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,4,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,7,7,10,10,18,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,1,1,2,2,2,2,2,3,8,8,12,12,22,36,42,46,51,65,81,97,111,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3
North Macedonia,3,3,7,9,14,19,19,26,35,43,67,77,85,136,148,148,177,201,219,241,259,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Norway,136,177,436,828,996,"1,133","1,258","1,417","1,527","1,683","1,808","1,997","2,216","2,415","2,715","2,868","3,191","3,380","3,780","4,054","4,393",,0,0,0,1,3,3,3,6,6,7,7,7,8,12,13,14,15,19,23,23,,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,7,7
Oman,16,16,18,19,19,20,22,24,33,39,48,52,52,66,84,99,109,131,152,167,179,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,9,9,9,9,12,13,13,13,13,17,17,17,23,23,23,23
Pakistan,6,7,19,21,28,33,94,194,272,380,467,534,645,804,916,"1,000","1,106","1,235","1,408","1,526","1,625",,0,0,0,0,0,0,1,0,2,3,3,3,6,7,7,8,9,11,13,13,,1,1,2,2,2,2,2,13,13,13,13,13,13,19,21,23,25,29
Palestine,16,19,30,35,35,38,39,41,44,47,48,52,53,59,60,62,84,91,91,106,115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,0,0,17,17,17,17,16,16,17,17,17,18
Panama,0,0,8,27,36,43,55,69,86,109,137,200,245,313,345,443,558,674,786,901,989,,0,0,1,1,1,1,1,1,1,1,1,3,3,6,6,8,9,14,17,17,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,1,5,6,6,7,8,9,11,11,13,18,22,22,27,37,41,52,56,56,64,,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Peru,1,7,11,22,38,43,71,86,117,155,234,263,318,363,395,416,480,580,635,671,852,,0,0,0,0,0,0,0,0,0,3,4,5,5,5,7,9,9,11,16,16,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,14,16,16
Phlippeans,6,20,49,52,64,140,140,187,202,217,230,307,380,462,552,636,707,803,803,"1,418","1,546",,1,1,1,8,11,12,12,17,17,18,19,25,33,35,38,45,54,54,71,71,,2,2,2,2,2,5,4,8,8,13,15,18,20,26,28,31,31,42
Poland,5,11,25,61,84,111,150,205,251,325,378,452,536,684,774,927,"1,085","1,244","1,436","1,717","1,905",,0,0,0,2,3,3,5,5,5,6,5,5,8,9,12,14,16,16,19,19,,0,0,0,0,13,13,1,13,13,13,13,13,1,1,7,7,7,7
Portugal,15,30,59,78,112,169,245,332,642,785,786,"1,280","1,280","2,060","2,060","2,362","2,995","3,544","4,268","5,170","6,408",,0,0,0,0,0,0,1,2,3,5,12,12,23,23,33,43,60,76,100,100,,0,0,0,1,2,3,4,4,4,5,5,14,14,22,22,43,43,43
Qatar,12,15,24,262,320,337,401,439,442,452,460,470,481,494,501,526,537,549,562,590,634,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,4,4,4,4,10,10,27,33,37,41,41,43,43,45
Réunion,0,0,0,5,5,6,9,9,12,14,28,45,47,64,75,94,115,135,145,183,183,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Romania,9,15,32,70,97,123,158,184,246,277,308,367,367,576,762,794,"1,029","1,029","1,292","1,760","1,952",,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,17,24,26,38,38,,3,5,6,7,9,9,19,25,31,52,52,73,79,79,94,94,115,169
Russia,13,17,20,34,45,59,63,93,147,147,199,253,306,438,495,658,840,"1,036","1,264","1,534","1,836",,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,4,8,8,,2,3,3,8,8,8,8,8,9,12,16,17,22,29,38,45,49,64
Rwanda,0,0,0,0,0,1,5,7,8,11,11,17,17,19,36,40,41,50,54,60,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Korea,"7,041","7,478","7,755","7,979","8,086","8,162","8,236","8,320","8,413","8,565","8,652","8,799","8,897","8,961","9,037","9,137","9,241","9,332","9,478","9,583","9,661",,48,53,61,72,75,75,81,84,91,94,102,104,111,120,126,131,139,144,152,152,,118,166,288,714,834,"1,137","1,540","1,947","2,233","2,612","2,909","3,166","3,507","3,730","4,144","4,528","4,811","5,033"
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Saint Martin,0,2,2,2,2,2,2,2,3,3,3,4,5,5,8,8,11,11,11,11,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,23,36,62,77,80,101,109,102,119,140,144,151,160,175,187,187,208,208,223,224,224,,1,1,2,5,5,7,9,11,14,14,14,20,20,21,21,21,21,21,22,22,,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6
Saudi Arabia,5,15,21,62,86,103,118,133,171,238,274,344,392,511,767,767,900,"1,012","1,104","1,203","1,299",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,,1,1,1,1,2,3,6,6,8,8,16,17,19,28,29,33,35,37
Senegal,4,4,4,10,21,24,24,27,31,36,36,47,56,67,86,99,105,105,119,142,162,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,2,2,2,2,2,2,5,5,5,8,9,9,9,11,27
Serbia,1,1,12,31,41,46,55,65,83,97,118,149,188,222,249,303,384,457,528,659,741,,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,7,8,11,11,,0,0,0,0,0,1,1,1,2,2,2,2,3,15,15,15,42,42
Seychelles,0,0,0,0,0,2,3,4,4,6,6,7,7,7,7,7,7,7,7,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,130,150,178,187,200,212,226,243,313,313,385,432,432,455,558,558,631,683,732,802,844,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,,82,90,96,97,105,105,114,117,124,140,140,144,156,156,160,172,183,198
Sint Maarten,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,3,5,7,21,32,54,61,84,105,105,124,137,178,186,204,216,226,226,269,314,336,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,2,2,2
Slovenia,8,16,47,96,141,181,219,253,286,286,319,341,383,414,442,480,528,562,632,730,756,,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,5,6,9,11,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10
Somalia,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1,3,13,16,24,51,61,62,116,150,202,240,240,402,554,709,709,927,"1,170","1,187","1,280",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,,0,0,0,0,0,0,0,0,0,2,2,2,4,4,12,12,31,31
Spain (COVID-19 virus),441,674,"2,115","3,779","5,232","6,391","7,988","11,178","13,910","17,147","19,980","24,926","25,496","33,089","39,673","47,610","56,188","57,786","65,719","78,797","85,195",,8,17,48,133,196,294,491,623,767,"1,002","1,326","1,381","2,182","2,696","3,434","4,089","4,365","5,138","6,528","6,528",,6,32,136,193,517,517,"1,081","1,107","1,588","2,125","2,125","3,355","3,794","5,367","7,015","7,015","9,357","14,709"
Sri Lanka,1,1,2,3,6,11,21,35,51,59,66,76,77,87,101,102,102,106,106,115,122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,1,3,3,3,3,3,3,2,3,7,7,9,10
St. Barth,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent Grenadines,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sudan,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,5,5,6,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,1,1,1,1,1,1,4,4,5,5,6,7,8,8,8,8,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweeden,137,203,436,688,821,961,"1,040","1,125","1,292","1,331","1,456","1,674","1,770","1,934","2,104","2,300","2,554","2,840","3,069","3,447","3,700",,0,0,0,1,2,3,7,8,10,11,17,20,25,33,40,64,77,105,105,105,,1,1,1,1,1,1,1,16,16,16,16,16,16,16,16,16,16,16
Switzerland,216,332,652,868,"1,139","1,375","2,217","2,354","2,742","3,347","4,898","6,186","6,863","8,234","9,117","10,171","11,125","11,811","13,138","14,352","15,069",,1,2,4,11,13,14,21,27,36,43,58,80,107,122,135,165,194,237,282,282,,3,3,3,4,4,4,15,15,15,15,131,131,131,131,131,131,"1,530","1,595"
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,45,45,48,50,53,59,59,77,100,108,135,153,153,195,216,235,252,267,283,298,306,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,15,15,17,20,20,20,20,26,28,28,28,28,29,29,29,30,30,30
Tanzania,0,0,0,0,0,0,0,1,3,6,6,6,6,12,12,12,13,13,13,14,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Thailand,50,50,59,75,75,114,114,177,212,272,322,411,599,721,827,934,"1,045","1,136","1,245","1,388","1,524",,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,6,7,7,,31,33,34,35,35,35,41,42,42,44,44,52,52,70,88,97,97,97
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,1,1,1,1,1,1,1,1,1,1,9,9,16,18,20,20,23,24,25,25,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Trinidad and Tobago,0,0,0,1,1,2,4,5,7,9,9,9,49,50,52,57,60,65,66,76,78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tunisia,1,2,6,13,16,18,20,24,29,39,54,60,60,85,114,114,173,197,227,278,312,,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,6,5,7,8,8,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
Turkey,0,0,1,2,5,6,18,47,98,191,359,670,947,"1,236","1,529","1,872","2,433","3,629","5,698","7,402","9,217",,0,0,0,0,0,0,0,1,2,4,9,21,30,37,44,59,75,92,108,108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,42,70
Turks and Caicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,45,45,74,85,85,86,98,98,113,113,140,140,153,153,198,248,333,333,405,468,570,,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,,7,7,17,20,20,23,26,26,31,31,38,38,41,45,52,52,52,55
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,14,18,23,30,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
